Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
1,Álex Abrines\abrinal01,SG,25,OKC,31,588,0.357,22.3,0.191,0.102,0.025,0.019,0.045,0.809,0.5,0.5,0.5,0.333,0.571,0.323,0.8,0.951,0.006,1,0.205,0.385,2,0
2,Quincy Acy\acyqu01,PF,28,PHO,10,123,0.222,21.7,0.167,0.111,0,0.056,0,0.833,0.667,1,,0,,0.133,1,1,0,0,0.333,0.2,0,0
3,Jaylen Adams\adamsja01,PG,22,ATL,34,428,0.345,20.2,0.327,0.118,0.082,0.073,0.055,0.673,0.361,0.538,0.111,0.25,0.5,0.338,0.231,0.84,0,0,0.149,0.182,1,0
4,Steven Adams\adamsst01,C,25,OKC,80,2669,0.595,3.5,0.998,0.645,0.294,0.058,0,0.002,0.596,0.667,0.458,0.511,,0,0.642,,0.19,131,0,,2,0
5,Bam Adebayo\adebaba01,C,21,MIA,82,1913,0.576,5.2,0.969,0.572,0.243,0.121,0.033,0.031,0.588,0.716,0.415,0.373,0.438,0.2,0.7,0.667,0.257,117,0.267,0,2,0
6,Deng Adel\adelde01,SF,21,CLE,19,194,0.306,19.2,0.361,0.139,0.083,0.111,0.028,0.639,0.385,0.4,0.333,0.25,1,0.261,0.6,1,0,0,0.217,0.2,0,0
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,0.3,12.9,0.6,0.5,0,0,0.1,0.4,0.5,0.6,,,0,0,0.667,,0.1,1,0.25,0,0,0
8,LaMarcus Aldridge\aldrila01,C,33,SAS,81,2687,0.519,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.437,0.442,0.238,0.588,0.9,0.042,51,0.095,0.25,0,0
9,Rawle Alkins\alkinra01,SG,21,CHI,10,120,0.333,10.1,0.692,0.385,0.282,0.026,0,0.308,0.37,0.533,0.182,0,,0.25,0.7,1,0.026,1,0.333,0.5,0,0
10,Grayson Allen\allengr01,SG,23,UTA,38,416,0.376,17.5,0.444,0.157,0.14,0.079,0.067,0.556,0.443,0.571,0.36,0.286,0.5,0.323,0.4,0.938,0.045,6,0.303,0.4,1,0
11,Jarrett Allen\allenja01,C,20,BRK,80,2096,0.59,4.3,0.921,0.678,0.22,0.021,0.002,0.079,0.629,0.725,0.384,0.167,0,0.133,0.83,1,0.343,170,0.867,0.154,0,0
12,Kadeem Allen\allenka01,PG,26,NYK,19,416,0.461,12,0.745,0.298,0.184,0.191,0.071,0.255,0.457,0.643,0.308,0.37,0.3,0.472,0.208,0.882,0,0,0.139,0.2,1,0
13,Al-Farouq Aminu\aminual01,PF,28,POR,81,2292,0.433,13.9,0.528,0.351,0.105,0.029,0.044,0.472,0.514,0.611,0.419,0.118,0.231,0.343,0.516,1,0.079,42,0.311,0.356,0,0
14,Justin Anderson\anderju01,SF,25,ATL,48,463,0.408,14.8,0.51,0.293,0.127,0.07,0.019,0.49,0.5,0.674,0.3,0.273,0,0.312,0.525,0.917,0.096,14,0.221,0.353,1,0
15,Kyle Anderson\anderky01,SF,25,MEM,43,1281,0.543,7.9,0.877,0.464,0.261,0.051,0.101,0.123,0.583,0.68,0.486,0.357,0.5,0.265,0.539,1,0.011,2,0.618,0.381,0,0
16,Ryan Anderson\anderry01,PF,30,TOT,25,322,0.304,19.4,0.42,0.203,0,0.101,0.116,0.58,0.414,0.5,,0.143,0.5,0.225,0.5,1,0.029,1,0.175,0.143,1,0
16,Ryan Anderson\anderry01,PF,30,PHO,15,278,0.317,18.7,0.433,0.2,0,0.117,0.117,0.567,0.462,0.583,,0.143,0.571,0.206,0.5,1,0.033,1,0.147,0,0,0
16,Ryan Anderson\anderry01,PF,30,MIA,10,44,0.222,24.3,0.333,0.222,0,0,0.111,0.667,0,0,,,0,0.333,,1,0,0,0.333,0.5,1,0
17,Ike Anigbogu\anigbik01,C,20,IND,3,6,0,12.7,1,0.333,0,0,0.667,0,0,0,,,0,,,,0,0,,,0,0
18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,72,2358,0.578,7.7,0.837,0.573,0.152,0.051,0.063,0.163,0.641,0.769,0.339,0.381,0.41,0.256,0.472,0.673,0.246,279,0.044,0.222,1,0
19,Kostas Antetokounmpo\antetko01,PF,21,DAL,2,11,0,4,1,0.333,0.667,0,0,0,0,0,0,,,,,,0,0,,,0,0
20,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,0.405,18.5,0.471,0.149,0.066,0.124,0.132,0.529,0.491,0.611,0.5,0.467,0.375,0.328,0.429,0.905,0.017,2,0.047,0.333,0,0
21,OG Anunoby\anunoog01,SF,21,TOR,67,1352,0.453,14,0.5,0.347,0.109,0.022,0.022,0.5,0.574,0.693,0.273,0.333,0.444,0.332,0.491,0.985,0.114,39,0.465,0.266,0,0
22,Ryan Arcidiacono\arcidry01,PG,24,CHI,81,1961,0.447,16.8,0.481,0.172,0.165,0.091,0.053,0.519,0.527,0.597,0.449,0.579,0.455,0.373,0.264,0.864,0,0,0.226,0.469,0,0
23,Trevor Ariza\arizatr01,SF,33,TOT,69,2349,0.399,16.6,0.41,0.262,0.091,0.023,0.034,0.59,0.493,0.611,0.224,0.294,0.44,0.334,0.617,0.917,0.042,29,0.297,0.395,1,0
23,Trevor Ariza\arizatr01,SF,33,PHO,26,884,0.379,16.8,0.388,0.251,0.097,0.013,0.026,0.612,0.409,0.491,0.227,0,0.5,0.36,0.472,0.94,0.04,9,0.288,0.4,0,0
23,Trevor Ariza\arizatr01,SF,33,WAS,43,1465,0.409,16.5,0.42,0.267,0.088,0.028,0.037,0.58,0.528,0.662,0.222,0.357,0.421,0.322,0.664,0.905,0.043,20,0.302,0.393,1,0
24,D.J. Augustin\augusdj01,PG,31,ORL,81,2269,0.47,15.2,0.541,0.267,0.137,0.075,0.061,0.459,0.511,0.646,0.333,0.353,0.512,0.421,0.182,0.641,0.001,0,0.174,0.519,4,0
25,Deandre Ayton\aytonde01,C,20,PHO,71,2183,0.585,6.7,0.995,0.478,0.217,0.154,0.146,0.005,0.588,0.733,0.556,0.41,0.346,0,0.711,,0.163,135,0.25,0,0,0
26,Dwayne Bacon\bacondw01,SG,23,CHO,43,759,0.475,13,0.661,0.288,0.179,0.121,0.074,0.339,0.494,0.73,0.304,0.355,0.263,0.437,0.607,0.737,0.027,7,0.299,0.462,0,0
27,Marvin Bagley III\baglema01,PF,19,SAC,62,1567,0.504,8.7,0.864,0.363,0.31,0.126,0.065,0.136,0.534,0.691,0.434,0.393,0.413,0.313,0.515,0.9,0.112,75,0.219,0.19,1,0
28,Ron Baker\bakerro01,SG,25,TOT,15,152,0.2,18.4,0.35,0.25,0,0,0.1,0.65,0.429,0.4,,,0.5,0.077,0.333,1,0,0,0.385,0,0,0
28,Ron Baker\bakerro01,SG,25,NYK,11,107,0.25,16.6,0.438,0.313,0,0,0.125,0.563,0.429,0.4,,,0.5,0.111,0.333,1,0,0,0.333,0,0,0
28,Ron Baker\bakerro01,SG,25,WAS,4,45,0,25.5,0,0,0,0,0,1,,,,,,0,,,0,0,0.5,0,0,0
29,Wade Baldwin\baldwwa01,PG,22,POR,16,94,0.303,12.2,0.727,0.303,0.182,0.091,0.152,0.273,0.333,0.3,0.333,0.333,0.4,0.222,0.125,0,0,0,0,,0,0
30,Lonzo Ball\balllo01,PG,21,LAL,47,1423,0.406,15.4,0.5,0.309,0.096,0.046,0.048,0.5,0.482,0.596,0.295,0.238,0.364,0.329,0.427,0.76,0.061,25,0.171,0.231,2,0
31,Mo Bamba\bambamo01,C,20,ORL,47,766,0.481,12.5,0.712,0.35,0.144,0.078,0.14,0.288,0.555,0.788,0.286,0.263,0.412,0.3,0.656,0.952,0.148,34,0.257,0.333,1,0
32,J.J. Barea\bareajo01,PG,34,DAL,38,752,0.418,14.1,0.668,0.203,0.221,0.138,0.106,0.332,0.479,0.654,0.341,0.472,0.439,0.297,0.163,0.447,0,0,0.055,0.286,0,0
33,Harrison Barnes\barneha02,PF-SF,26,TOT,77,2533,0.42,14.9,0.571,0.195,0.212,0.096,0.067,0.429,0.439,0.65,0.358,0.313,0.261,0.395,0.506,0.868,0.031,28,0.297,0.45,2,0
33,Harrison Barnes\barneha02,PF,26,DAL,49,1584,0.404,15,0.566,0.197,0.195,0.099,0.075,0.434,0.416,0.617,0.336,0.296,0.259,0.389,0.485,0.876,0.024,14,0.277,0.442,0,0
33,Harrison Barnes\barneha02,SF,26,SAC,28,949,0.455,14.8,0.581,0.19,0.252,0.09,0.048,0.419,0.489,0.729,0.397,0.357,0.267,0.408,0.545,0.849,0.048,14,0.346,0.467,2,0
34,Will Barton\bartowi01,SF,28,DEN,43,1189,0.402,15.1,0.574,0.215,0.187,0.093,0.078,0.426,0.447,0.596,0.349,0.395,0.333,0.342,0.458,0.791,0.015,6,0.122,0.375,2,0
35,Keita Bates-Diop\bateske01,SF,23,MIN,30,503,0.423,13.2,0.634,0.345,0.127,0.077,0.085,0.366,0.522,0.735,0.278,0.273,0.25,0.25,0.745,1,0.035,5,0.365,0.211,1,0
36,Nicolas Batum\batumni01,SF,30,CHO,75,2354,0.45,17.1,0.47,0.21,0.077,0.084,0.1,0.53,0.519,0.661,0.442,0.383,0.393,0.389,0.54,0.828,0.044,22,0.309,0.457,1,0
37,Jerryd Bayless\bayleje01,PG,30,MIN,34,657,0.357,17.1,0.574,0.17,0.096,0.087,0.222,0.426,0.402,0.462,0.364,0.2,0.451,0.296,0.321,0.724,0,0,0.133,0.231,1,0
38,Aron Baynes\baynear01,C,32,BOS,51,821,0.471,9.9,0.726,0.462,0.157,0.072,0.036,0.274,0.519,0.573,0.429,0.5,0.25,0.344,0.667,1,0.121,22,0.18,0.364,0,0
39,Kent Bazemore\bazemke01,SG,29,ATL,67,1643,0.402,15,0.566,0.279,0.109,0.078,0.1,0.434,0.465,0.611,0.213,0.296,0.464,0.32,0.478,0.844,0.023,15,0.353,0.34,4,0
40,Bradley Beal\bealbr01,SG,25,WAS,82,3028,0.475,14.7,0.63,0.281,0.1,0.103,0.145,0.37,0.548,0.697,0.422,0.464,0.406,0.351,0.425,0.718,0.042,61,0.141,0.417,1,0
41,Malik Beasley\beaslma01,SG,22,DEN,81,1879,0.474,16.8,0.45,0.202,0.115,0.064,0.069,0.55,0.56,0.732,0.365,0.553,0.392,0.402,0.758,0.982,0.072,45,0.188,0.461,1,0
42,Michael Beasley\beaslmi01,PF,30,LAL,26,277,0.49,7.6,0.889,0.366,0.353,0.118,0.052,0.111,0.529,0.714,0.426,0.333,0.375,0.176,0.472,1,0.046,7,0.471,0.25,0,0
43,Marco Belinelli\belinma01,SG,32,SAS,79,1815,0.413,19.7,0.428,0.112,0.067,0.088,0.161,0.572,0.468,0.584,0.478,0.361,0.441,0.372,0.775,0.844,0.004,2,0.167,0.394,4,0
44,Jordan Bell\belljo01,C,24,GSW,68,788,0.516,8.1,0.99,0.484,0.109,0.172,0.224,0.01,0.521,0.688,0.381,0.455,0.279,0,0.737,,0.198,32,0,,1,0
45,DeAndre' Bembry\bembrde01,SG,24,ATL,82,1931,0.446,9.8,0.719,0.484,0.159,0.06,0.016,0.281,0.508,0.601,0.337,0.324,0.1,0.289,0.484,0.94,0.093,50,0.277,0.271,1,0
46,Dragan Bender\bendedr01,PF,21,PHO,46,826,0.447,14,0.487,0.376,0.096,0.005,0.01,0.513,0.688,0.784,0.421,0,0,0.218,0.682,1,0.071,14,0.257,0.231,0,0
47,Dairis Bertāns\bertada02,SG,29,NOP,12,167,0.255,23.7,0.277,0,0.021,0,0.255,0.723,0.154,,0,,0.167,0.294,0.5,1,0,0,0.206,0.286,0,0
48,Dāvis Bertāns\bertada01,PF,26,SAS,76,1632,0.45,21.8,0.254,0.073,0.071,0.057,0.053,0.746,0.513,0.758,0.344,0.5,0.417,0.429,0.831,0.986,0.02,8,0.139,0.596,3,0
49,Patrick Beverley\beverpa01,PG,30,LAC,78,2137,0.407,16.9,0.409,0.187,0.182,0.029,0.01,0.591,0.421,0.494,0.379,0.286,0.2,0.397,0.354,0.875,0.004,0,0.195,0.455,0,0
50,Khem Birch\birchkh01,C,26,ORL,50,643,0.603,3.5,0.993,0.603,0.351,0.026,0.013,0.007,0.607,0.714,0.453,0.5,0,0,0.725,,0.272,38,0,,0,0
51,Bismack Biyombo\biyombi01,C,26,CHO,54,783,0.571,4.2,1,0.647,0.224,0.083,0.045,0,0.571,0.673,0.4,0.385,0.286,,0.764,,0.231,32,,,0,0
52,Nemanja Bjelica\bjeline01,PF,30,SAC,77,1788,0.479,13.5,0.567,0.319,0.199,0.022,0.027,0.433,0.539,0.635,0.441,0.231,0.375,0.401,0.591,0.961,0.032,17,0.187,0.292,0,0
53,Antonio Blakeney\blakean01,SG,22,CHI,57,829,0.419,14.1,0.77,0.157,0.167,0.253,0.194,0.23,0.426,0.645,0.424,0.34,0.364,0.396,0.385,0.833,0.023,9,0.418,0.5,1,0
54,Eric Bledsoe\bledser01,PG,29,MIL,78,2272,0.484,12.9,0.612,0.383,0.124,0.065,0.04,0.388,0.582,0.726,0.3,0.413,0.359,0.329,0.329,0.589,0.015,15,0.143,0.278,0,0
55,Jaron Blossomgame\blossja01,SF,25,CLE,27,439,0.443,11.9,0.632,0.396,0.142,0.066,0.028,0.368,0.552,0.69,0.267,0.429,0.333,0.256,0.595,1,0.132,13,0.436,0.235,0,0
56,Bogdan Bogdanović\bogdabo01,SG,26,SAC,70,1947,0.418,16.2,0.569,0.168,0.18,0.1,0.122,0.431,0.462,0.572,0.413,0.453,0.39,0.36,0.383,0.791,0.005,3,0.105,0.359,3,0
57,Bojan Bogdanović\bogdabo02,SF,29,IND,81,2573,0.497,13.5,0.633,0.303,0.144,0.119,0.068,0.367,0.538,0.676,0.377,0.416,0.479,0.425,0.642,0.921,0.029,31,0.288,0.495,0,0
58,Andrew Bogut\bogutan01,C,34,GSW,11,134,0.5,4.2,1,0.611,0.25,0.111,0.028,0,0.5,0.591,0.333,0.5,0,,0.611,,0.167,5,,,0,0
59,Jonah Bolden\boldejo01,PF,23,PHI,44,639,0.494,16.3,0.407,0.333,0.037,0.019,0.019,0.593,0.697,0.796,0.333,0,0.333,0.354,0.739,1,0.086,13,0.198,0.368,0,0
60,Isaac Bonga\bongais01,PG,19,LAL,22,120,0.152,11.2,0.758,0.273,0.303,0.121,0.061,0.242,0.2,0.444,0.1,0,0,0,0.2,,0,0,0.25,0,0,0
61,Devin Booker\bookede01,SG,22,PHO,64,2242,0.467,14.6,0.67,0.229,0.135,0.19,0.116,0.33,0.536,0.659,0.471,0.496,0.438,0.326,0.295,0.578,0.015,14,0.07,0.345,6,1
62,Chris Boucher\bouchch01,PF,26,TOR,28,163,0.447,13.3,0.513,0.368,0.132,0,0.013,0.487,0.564,0.75,0.1,,0,0.324,0.636,1,0.145,11,0.189,0.429,0,0
63,Avery Bradley\bradlav01,SG,28,TOT,63,1905,0.408,17,0.597,0.161,0.1,0.074,0.262,0.403,0.446,0.49,0.344,0.4,0.472,0.351,0.611,0.86,0.003,2,0.359,0.386,3,0
63,Avery Bradley\bradlav01,SG,28,LAC,49,1463,0.383,16.6,0.59,0.176,0.105,0.064,0.245,0.41,0.415,0.473,0.318,0.444,0.408,0.337,0.631,0.948,0.005,2,0.436,0.36,2,0
63,Avery Bradley\bradlav01,SG,28,MEM,14,442,0.463,17.9,0.612,0.128,0.09,0.096,0.298,0.388,0.513,0.542,0.412,0.333,0.589,0.384,0.576,0.679,0,0,0.178,0.538,1,0
64,Tony Bradley\bradlto01,C,21,UTA,3,36,0.5,3.1,1,0.688,0.25,0.063,0,0,0.5,0.636,0.25,0,,,0.625,,0.063,1,,,0,0
65,Corey Brewer\breweco01,SF,32,TOT,31,492,0.431,11.9,0.642,0.423,0.138,0.041,0.041,0.358,0.494,0.673,0.118,0.2,0.2,0.318,0.718,1,0.057,7,0.386,0.294,0,0
65,Corey Brewer\breweco01,SF,32,PHI,7,140,0.408,10.3,0.714,0.449,0.163,0.082,0.02,0.286,0.457,0.682,0.125,0,0,0.286,0.813,1,0.061,3,0.286,0,0,0
65,Corey Brewer\breweco01,SF,32,SAC,24,352,0.446,12.9,0.595,0.405,0.122,0.014,0.054,0.405,0.523,0.667,0.111,1,0.25,0.333,0.652,1,0.054,4,0.433,0.385,0,0
66,Mikal Bridges\bridgmi01,SF,22,PHO,82,2417,0.43,15.6,0.444,0.277,0.101,0.041,0.025,0.556,0.548,0.647,0.421,0.304,0.357,0.335,0.715,0.962,0.048,25,0.415,0.315,1,0
67,Miles Bridges\bridgmi02,SF,20,CHO,80,1696,0.464,12.8,0.609,0.411,0.121,0.033,0.043,0.391,0.553,0.671,0.306,0.353,0.273,0.325,0.773,0.954,0.164,71,0.38,0.395,8,0
68,Isaiah Briscoe\briscis01,PG,22,ORL,39,559,0.399,12.9,0.754,0.29,0.152,0.065,0.246,0.246,0.423,0.625,0.429,0.111,0.265,0.324,0.205,0.909,0.014,2,0.324,0.273,0,0
69,Ryan Broekhoff\broekry01,SG,28,DAL,42,453,0.452,20.2,0.262,0.151,0.048,0.04,0.024,0.738,0.576,0.684,0.333,0.2,1,0.409,0.789,0.974,0.016,2,0.312,0.517,1,0
70,Malcolm Brogdon\brogdma01,SG,26,MIL,64,1832,0.505,10.8,0.674,0.493,0.111,0.036,0.033,0.326,0.544,0.64,0.217,0.407,0.36,0.426,0.467,0.837,0.009,6,0.197,0.5,0,0
71,Dillon Brooks\brookdi01,SF,23,MEM,18,330,0.402,13.1,0.672,0.32,0.164,0.115,0.074,0.328,0.415,0.462,0.4,0.357,0.333,0.375,0.647,1,0.016,2,0.15,0.333,1,0
72,MarShon Brooks\brookma01,SG,30,MEM,29,387,0.45,13.8,0.68,0.243,0.154,0.166,0.118,0.32,0.53,0.78,0.385,0.5,0.25,0.278,0.279,0.533,0.024,3,0.111,0.333,0,0
73,Bruce Brown\brownbr01,SG,22,DET,74,1449,0.398,10.2,0.704,0.404,0.261,0.025,0.013,0.296,0.457,0.567,0.305,0.375,0.25,0.258,0.614,0.958,0.073,16,0.452,0.357,3,0
74,Jaylen Brown\brownja02,SG,22,BOS,74,1913,0.465,12.8,0.652,0.314,0.17,0.119,0.048,0.348,0.529,0.659,0.4,0.436,0.368,0.344,0.571,0.968,0.061,43,0.246,0.368,0,0
75,Lorenzo Brown\brownlo01,PG,28,TOR,26,212,0.324,14.3,0.606,0.338,0.127,0.07,0.07,0.394,0.395,0.417,0.333,0.4,0.4,0.214,0.235,0.667,0.042,2,0.321,0.333,2,0
76,Sterling Brown\brownst02,SG,23,MIL,58,1034,0.465,14,0.529,0.375,0.103,0.026,0.026,0.471,0.558,0.632,0.344,0.625,0.25,0.361,0.674,0.962,0.051,13,0.374,0.527,2,0
77,Troy Brown Jr.\browntr01,SF,19,WAS,52,730,0.415,12.9,0.705,0.269,0.218,0.09,0.128,0.295,0.455,0.714,0.275,0.19,0.4,0.319,0.6,1,0.064,12,0.246,0.412,1,0
78,Jalen Brunson\brunsja01,PG,22,DAL,73,1591,0.467,13.3,0.68,0.218,0.225,0.161,0.076,0.32,0.523,0.707,0.441,0.451,0.395,0.348,0.338,0.762,0.009,4,0.293,0.302,0,0
79,Thomas Bryant\bryanth01,C,21,WAS,72,1496,0.616,9,0.803,0.51,0.145,0.058,0.09,0.197,0.685,0.82,0.466,0.414,0.444,0.333,0.783,0.97,0.249,117,0.101,0.2,0,0
80,Reggie Bullock\bullore01,SG,27,TOT,63,1879,0.412,20,0.338,0.111,0.067,0.071,0.089,0.662,0.483,0.606,0.35,0.333,0.547,0.377,0.794,0.953,0.003,2,0.26,0.402,0,0
80,Reggie Bullock\bullore01,SG,27,DET,44,1355,0.413,20,0.333,0.116,0.077,0.061,0.079,0.667,0.463,0.608,0.294,0.333,0.514,0.388,0.75,0.956,0.005,2,0.238,0.457,0,0
80,Reggie Bullock\bullore01,SG,27,LAL,19,524,0.412,20.2,0.353,0.098,0.039,0.098,0.118,0.647,0.537,0.6,0.667,0.333,0.611,0.343,0.897,0.941,0,0,0.323,0.281,0,0
81,Trey Burke\burketr01,PG,26,TOT,58,1125,0.431,14.2,0.71,0.208,0.168,0.168,0.166,0.29,0.463,0.605,0.402,0.359,0.451,0.352,0.139,0.661,0.002,1,0.145,0.348,3,0
81,Trey Burke\burketr01,PG,26,NYK,33,689,0.413,14.2,0.76,0.209,0.154,0.187,0.209,0.24,0.434,0.573,0.418,0.299,0.427,0.349,0.136,0.6,0.003,1,0.093,0.125,3,0
81,Trey Burke\burketr01,PG,26,DAL,25,436,0.463,14.4,0.616,0.205,0.195,0.132,0.084,0.384,0.53,0.667,0.378,0.52,0.563,0.356,0.145,0.731,0,0,0.205,0.467,0,0
82,Alec Burks\burksal01,SG,27,TOT,64,1375,0.405,13.6,0.646,0.287,0.173,0.089,0.097,0.354,0.428,0.596,0.317,0.238,0.304,0.363,0.42,0.77,0.025,11,0.196,0.364,2,0
82,Alec Burks\burksal01,SG,27,UTA,17,269,0.412,14,0.623,0.289,0.158,0.088,0.088,0.377,0.437,0.727,0.167,0.1,0.3,0.372,0.548,0.688,0.018,2,0.116,0,1,0
82,Alec Burks\burksal01,SG,27,CLE,34,979,0.4,13.5,0.65,0.282,0.176,0.085,0.106,0.35,0.412,0.531,0.35,0.276,0.306,0.378,0.363,0.8,0.024,7,0.218,0.462,1,0
82,Alec Burks\burksal01,SG,27,SAC,13,127,0.45,11.3,0.7,0.35,0.2,0.15,0,0.3,0.643,0.857,0.5,0.333,,0,0.556,,0.1,2,0.333,0,0,0
83,Deonte Burton\burtode02,SG,25,OKC,32,240,0.402,11.1,0.671,0.439,0.085,0.11,0.037,0.329,0.455,0.528,0.143,0.444,0.333,0.296,0.72,1,0.061,4,0.444,0.167,0,0
84,Jimmy Butler\butleji01,SF-SG,29,TOT,65,2185,0.462,11.7,0.787,0.315,0.167,0.156,0.148,0.213,0.494,0.716,0.311,0.404,0.321,0.347,0.481,0.672,0.079,69,0.238,0.348,1,0
84,Jimmy Butler\butleji01,SG,29,MIN,10,361,0.471,12.3,0.713,0.299,0.172,0.166,0.076,0.287,0.509,0.702,0.333,0.423,0.333,0.378,0.333,0.529,0.076,12,0.267,0.5,1,0
84,Jimmy Butler\butleji01,SF,29,PHI,55,1824,0.461,11.5,0.802,0.319,0.166,0.154,0.163,0.198,0.491,0.718,0.306,0.4,0.32,0.338,0.51,0.72,0.079,57,0.23,0.294,0,0
85,Bruno Caboclo\cabocbr01,PF,23,MEM,34,800,0.427,15.8,0.422,0.276,0.12,0.013,0.013,0.578,0.505,0.597,0.296,0,1,0.369,0.667,0.979,0.053,10,0.4,0.327,1,0
86,José Calderón\caldejo01,PG,37,DET,49,632,0.375,19.1,0.525,0.1,0.058,0.108,0.258,0.475,0.492,0.583,0.286,0.308,0.581,0.246,0.258,1,0,0,0.14,0.25,1,0
87,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,82,2035,0.43,18.3,0.425,0.18,0.06,0.071,0.114,0.575,0.542,0.676,0.4,0.407,0.488,0.347,0.707,0.94,0.029,17,0.257,0.42,1,0
88,Isaiah Canaan\canaais01,PG,27,TOT,30,629,0.39,17.4,0.415,0.244,0.067,0.049,0.055,0.585,0.441,0.45,0.273,0.5,0.556,0.354,0.3,0.735,0,0,0.26,0.4,0,0
88,Isaiah Canaan\canaais01,PG,27,PHO,19,503,0.395,16.9,0.442,0.256,0.07,0.054,0.062,0.558,0.456,0.424,0.333,0.571,0.625,0.347,0.346,0.8,0,0,0.264,0.421,0,0
88,Isaiah Canaan\canaais01,PG,27,MIN,7,95,0.379,18.9,0.345,0.241,0.034,0.034,0.034,0.655,0.4,0.571,0,0,0,0.368,0,0.571,0,0,0.263,0.4,0,0
88,Isaiah Canaan\canaais01,PG,27,MIL,4,31,0.333,22.2,0.167,0,0.167,0,0,0.833,0,,0,,,0.4,,0.5,0,0,0.2,0,0,0
89,Clint Capela\capelca01,C,24,HOU,67,2249,0.648,2.4,1,0.75,0.24,0.01,0,0,0.648,0.747,0.364,0,,,0.812,,0.351,240,,,0,0
90,DeMarre Carroll\carrode01,PF,32,BRK,67,1703,0.395,16.3,0.461,0.203,0.141,0.071,0.045,0.539,0.457,0.615,0.346,0.293,0.346,0.342,0.62,0.962,0.005,3,0.303,0.362,0,0
91,Jevon Carter\carteje01,PG,23,MEM,39,577,0.303,19,0.449,0.146,0.049,0.108,0.146,0.551,0.265,0.296,0.333,0.25,0.222,0.333,0.227,0.676,0.005,1,0.304,0.355,2,0
92,Vince Carter\cartevi01,PF,42,ATL,76,1330,0.419,19.8,0.325,0.147,0.071,0.064,0.043,0.675,0.48,0.623,0.273,0.467,0.35,0.389,0.589,0.911,0.036,15,0.152,0.458,3,0
93,Wendell Carter Jr.\cartewe01,C,19,CHI,44,1110,0.485,8.4,0.914,0.404,0.218,0.186,0.105,0.086,0.513,0.667,0.42,0.377,0.359,0.188,0.776,1,0.124,43,0.406,0.154,0,0
94,Michael Carter-Williams\cartemi01,PG,27,TOT,28,372,0.374,11.1,0.691,0.301,0.325,0.057,0.008,0.309,0.424,0.541,0.35,0.286,0,0.263,0.25,0.8,0.024,3,0.342,0.385,0,0
94,Michael Carter-Williams\cartemi01,PG,27,HOU,16,145,0.41,11,0.689,0.311,0.311,0.066,0,0.311,0.429,0.526,0.421,0,,0.368,0.333,0.714,0.033,2,0.421,0.25,0,0
94,Michael Carter-Williams\cartemi01,PG,27,ORL,12,227,0.339,11.1,0.694,0.29,0.339,0.048,0.016,0.306,0.419,0.556,0.286,0.667,0,0.158,0.167,1,0.016,1,0.263,0.6,0,0
95,Alex Caruso\carusal01,PG,24,LAL,25,531,0.445,11.5,0.711,0.393,0.15,0.104,0.064,0.289,0.431,0.559,0.308,0.222,0.273,0.48,0.415,0.667,0.046,5,0.22,0.273,0,0
96,Omri Casspi\casspom01,SF,30,MEM,36,520,0.534,9.1,0.733,0.46,0.255,0.019,0,0.267,0.602,0.784,0.317,0,,0.349,0.761,1,0.099,16,0.14,0.333,0,0
97,Willie Cauley-Stein\caulewi01,C,25,SAC,81,2213,0.556,4.5,0.997,0.594,0.27,0.065,0.069,0.003,0.556,0.714,0.31,0.354,0.353,0.5,0.786,1,0.279,182,0,,1,0
98,Troy Caupain\caupatr01,PG,23,ORL,4,16,0.5,17.9,0.625,0.125,0,0.25,0.25,0.375,0.4,0,,0.5,0.5,0.667,0,0.5,0,0,0,,0,0
99,Tyler Cavanaugh\cavanty01,PF,24,UTA,11,39,0.3,13.8,0.5,0.2,0.3,0,0,0.5,0.4,1,0,,,0.2,1,1,0,0,0.6,0,0,0
100,Tyson Chandler\chandty01,C,36,TOT,55,875,0.616,2.1,0.99,0.838,0.141,0,0.01,0.01,0.622,0.663,0.429,,0,0,0.672,,0.424,37,0,,0,0
100,Tyson Chandler\chandty01,C,36,PHO,7,89,0.667,1.1,1,1,0,0,0,0,0.667,0.667,,,,,0.75,,0.583,6,,,0,0
100,Tyson Chandler\chandty01,C,36,LAL,48,786,0.609,2.2,0.989,0.816,0.161,0,0.011,0.011,0.616,0.662,0.429,,0,0,0.66,,0.402,31,0,,0,0
101,Wilson Chandler\chandwi01,PF-SF,31,TOT,51,1177,0.418,17.8,0.421,0.176,0.114,0.062,0.07,0.579,0.478,0.604,0.387,0.471,0.316,0.373,0.618,0.949,0.011,2,0.291,0.348,0,0
